symptom_text,department,label
dialysis related since 2 days,Nephrology,12
hair thinning since 2 days,Endocrinology,6
swollen ankles in the morning,Cardiology,0
frequent UTI chronic,Nephrology,12
excessive sweating worsening at night,Endocrinology,6
breathlessness on exertion,Cardiology,0
foot pain in morning,Orthopedics,2
fever with fever,General Medicine,13
irregular periods after eating,Gynecology,7
irregular heartbeat since 2 days,Cardiology,0
hearing loss since 1 week,ENT,11
glaucoma symptoms mild to moderate,Ophthalmology,10
liver pain after eating,Gastroenterology,4
childhood asthma chronic,Pediatrics,8
vertigo worsening at night,ENT,11
fatigue since 1 week,General Medicine,13
blood in urine sudden onset,Nephrology,12
blood in urine,Nephrology,12
shortness of breath,Cardiology,0
TB symptoms,Pulmonology,5
mood swings chronic,Psychiatry,9
nasal congestion after eating,ENT,11
floaters in vision in the morning,Ophthalmology,10
knee pain mild to moderate,Orthopedics,2
diabetes symptoms in the morning,Endocrinology,6
blood in urine with fever,Nephrology,12
tonsillitis worsening at night,ENT,11
blood in urine with fever,Nephrology,12
runny nose since 1 week,ENT,11
frequent urination in the morning,Endocrinology,6
fatigue sudden onset,Endocrinology,6
anxiety sudden onset,Psychiatry,9
shortness of breath chronic,Cardiology,0
runny nose since 2 days,ENT,11
increased thirst after eating,Endocrinology,6
depression since 2 days,Psychiatry,9
memory loss worsening at night,Neurology,1
yellow eyes,Gastroenterology,4
general checkup after eating,General Medicine,13
thyroid swelling worsening at night,Endocrinology,6
acne worsening at night,Dermatology,3
typhoid symptoms since 2 days,General Medicine,13
frequent chest infections since 2 days,Pulmonology,5
PCOD symptoms in the morning,Gynecology,7
blood in urine with fever,Nephrology,12
psoriasis patches sudden onset,Dermatology,3
hair loss after eating,Dermatology,3
numbness in face,Neurology,1
breathlessness at night in the morning,Pulmonology,5
squinting sudden onset,Ophthalmology,10
menopause symptoms with fever,Gynecology,7
hair thinning with fever,Endocrinology,6
child ear pain with fever,Pediatrics,8
neck stiffness mild to moderate,Orthopedics,2
ear pain after eating,ENT,11
squinting since 2 days,Ophthalmology,10
cataract after eating,Ophthalmology,10
malaria symptoms since 1 week,General Medicine,13
foamy urine since 2 days,Nephrology,12
chest pressure worsening at night,Cardiology,0
bone pain worsening at night,Orthopedics,2
sinusitis,ENT,11
weakness on one side since 2 days,Neurology,1
dengue symptoms chronic,General Medicine,13
eye pain with fever,Ophthalmology,10
liver pain,Gastroenterology,4
schizophrenia symptoms in the morning,Psychiatry,9
difficulty swallowing,Gastroenterology,4
blurry vision chronic,Ophthalmology,10
neck stiffness since 2 days,Orthopedics,2
heart racing,Cardiology,0
health certificate sudden onset,General Medicine,13
frequent chest infections in the morning,Pulmonology,5
yellow eyes since 2 days,Gastroenterology,4
constipation mild to moderate,Gastroenterology,4
phobia worsening at night,Psychiatry,9
seizures,Neurology,1
child rash,Pediatrics,8
breathlessness at night since 1 week,Pulmonology,5
vision blurring suddenly chronic,Neurology,1
cough for 3 weeks in the morning,Pulmonology,5
dizziness while climbing stairs worsening at night,Cardiology,0
nasal congestion after eating,ENT,11
pelvic pain in the morning,Gynecology,7
blood in urine with fever,Nephrology,12
back pain after eating,Orthopedics,2
depression since 1 week,Psychiatry,9
health certificate with fever,General Medicine,13
nausea,Gastroenterology,4
suicidal thoughts worsening at night,Psychiatry,9
nausea sudden onset,Gastroenterology,4
diarrhea sudden onset,Gastroenterology,4
cataract after eating,Ophthalmology,10
loss of appetite since 2 days,General Medicine,13
weakness on one side with fever,Neurology,1
dialysis related chronic,Nephrology,12
squinting,Ophthalmology,10
pregnancy symptoms since 1 week,Gynecology,7
depression sudden onset,Psychiatry,9
frequent chest infections sudden onset,Pulmonology,5
loss of appetite sudden onset,General Medicine,13
frequent UTI with fever,Nephrology,12
liver pain since 1 week,Gastroenterology,4
fatigue after eating,General Medicine,13
stress after eating,Psychiatry,9
mood swings after eating,Psychiatry,9
ear pain sudden onset,ENT,11
dizziness since 1 week,Neurology,1
back pain sudden onset,Orthopedics,2
blood in stool since 2 days,Gastroenterology,4
swollen wrist chronic,Orthopedics,2
cataract sudden onset,Ophthalmology,10
difficulty swallowing worsening at night,Gastroenterology,4
snoring in the morning,ENT,11
typhoid symptoms in the morning,General Medicine,13
tonsillitis since 2 days,ENT,11
foamy urine worsening at night,Nephrology,12
frequent urination,Endocrinology,6
shortness of breath with fever,Cardiology,0
blood in stool worsening at night,Gastroenterology,4
sore throat after eating,ENT,11
weakness since 2 days,General Medicine,13
child rash chronic,Pediatrics,8
stress worsening at night,Psychiatry,9
snoring with fever,ENT,11
snoring mild to moderate,ENT,11
stress,Psychiatry,9
yellow eyes since 1 week,Gastroenterology,4
snoring worsening at night,ENT,11
shortness of breath worsening at night,Cardiology,0
cold and cough since 2 days,General Medicine,13
hormonal imbalance since 2 days,Gynecology,7
mood swings worsening at night,Psychiatry,9
vaginal discharge sudden onset,Gynecology,7
newborn jaundice mild to moderate,Pediatrics,8
stomach pain with fever,Gastroenterology,4
pregnancy symptoms chronic,Gynecology,7
hormonal imbalance after eating,Gynecology,7
yellow eyes after eating,Gastroenterology,4
seizures in the morning,Neurology,1
loss of appetite with fever,General Medicine,13
darkening of skin chronic,Dermatology,3
back pain after eating,Orthopedics,2
chest pain after eating,Cardiology,0
sore throat with fever,ENT,11
eye pain mild to moderate,Ophthalmology,10
shoulder stiffness sudden onset,Orthopedics,2
blurry vision in the morning,Ophthalmology,10
vaccination in the morning,Pediatrics,8
floaters in vision worsening at night,Ophthalmology,10
smoking related cough after eating,Pulmonology,5
yellow eyes,Gastroenterology,4
hair thinning with fever,Endocrinology,6
squinting sudden onset,Ophthalmology,10
chest pain sudden onset,Cardiology,0
menopause symptoms chronic,Gynecology,7
pregnancy symptoms with fever,Gynecology,7
stomach pain after eating,Gastroenterology,4
shoulder stiffness with fever,Orthopedics,2
joint swelling after eating,Orthopedics,2
hearing loss since 1 week,ENT,11
breathlessness at night mild to moderate,Pulmonology,5
irregular heartbeat,Cardiology,0
psoriasis patches mild to moderate,Dermatology,3
breast lump chronic,Gynecology,7
asthma attack,Pulmonology,5
coughing blood since 1 week,Pulmonology,5
psoriasis patches worsening at night,Dermatology,3
runny nose worsening at night,ENT,11
smoking related cough sudden onset,Pulmonology,5
bone pain in the morning,Orthopedics,2
sudden weight gain after eating,Endocrinology,6
swollen wrist mild to moderate,Orthopedics,2
diarrhea worsening at night,Gastroenterology,4
newborn jaundice with fever,Pediatrics,8
infant not feeding sudden onset,Pediatrics,8
breast lump with fever,Gynecology,7
newborn jaundice mild to moderate,Pediatrics,8
tonsillitis since 1 week,ENT,11
cold intolerance chronic,Endocrinology,6
acid reflux after eating,Gastroenterology,4
back pain,Orthopedics,2
eczema flare after eating,Dermatology,3
eye pain,Ophthalmology,10
fracture since 2 days,Orthopedics,2
fainting since 2 days,Neurology,1
frequent UTI,Nephrology,12
delayed milestones,Pediatrics,8
fatigue after eating,Endocrinology,6
frequent UTI since 2 days,Nephrology,12
child ear pain sudden onset,Pediatrics,8
ear pain,ENT,11
hip pain while walking worsening at night,Orthopedics,2
anxiety since 2 days,Psychiatry,9
delayed milestones since 1 week,Pediatrics,8
increased thirst sudden onset,Endocrinology,6
chest congestion mild to moderate,Pulmonology,5
stomach pain with fever,Gastroenterology,4
mood swings in the morning,Psychiatry,9
cataract sudden onset,Ophthalmology,10
breathlessness on exertion mild to moderate,Cardiology,0
schizophrenia symptoms worsening at night,Psychiatry,9
tonsillitis in the morning,ENT,11
cough for 3 weeks chronic,Pulmonology,5
slurred speech in the morning,Neurology,1
stomach pain chronic,Gastroenterology,4
smoking related cough chronic,Pulmonology,5
anxiety since 1 week,Psychiatry,9
dialysis related chronic,Nephrology,12
vomiting sudden onset,Gastroenterology,4
squinting after eating,Ophthalmology,10
foot pain in morning sudden onset,Orthopedics,2
liver pain in the morning,Gastroenterology,4
breathlessness on exertion,Cardiology,0
hair loss in the morning,Dermatology,3
eye pain mild to moderate,Ophthalmology,10
cough for 3 weeks chronic,Pulmonology,5
malaria symptoms after eating,General Medicine,13
constipation worsening at night,Gastroenterology,4
stomach pain sudden onset,Gastroenterology,4
diarrhea with fever,Gastroenterology,4
diarrhea chronic,Gastroenterology,4
glaucoma symptoms after eating,Ophthalmology,10
vomiting sudden onset,Gastroenterology,4
eye pain since 2 days,Ophthalmology,10
tingling in hands mild to moderate,Neurology,1
kidney pain chronic,Nephrology,12
smoking related cough in the morning,Pulmonology,5
chest congestion since 1 week,Pulmonology,5
difficulty swallowing sudden onset,Gastroenterology,4
general checkup mild to moderate,General Medicine,13
acid reflux sudden onset,Gastroenterology,4
vaginal discharge chronic,Gynecology,7
dengue symptoms worsening at night,General Medicine,13
watery eyes since 2 days,Ophthalmology,10
coughing blood since 2 days,Pulmonology,5
child vomiting since 1 week,Pediatrics,8
suicidal thoughts sudden onset,Psychiatry,9
blood in urine since 1 week,Nephrology,12
foot pain in morning,Orthopedics,2
TB symptoms chronic,Pulmonology,5
vomiting in the morning,Gastroenterology,4
psoriasis patches since 1 week,Dermatology,3
vision blurring suddenly since 2 days,Neurology,1
eczema flare in the morning,Dermatology,3
panic attacks since 2 days,Psychiatry,9
child ear pain after eating,Pediatrics,8
itching worsening at night,Dermatology,3
diarrhea mild to moderate,Gastroenterology,4
PCOD symptoms,Gynecology,7
menopause symptoms sudden onset,Gynecology,7
wheezing since 1 week,Pulmonology,5
frequent UTI mild to moderate,Nephrology,12
fatigue,General Medicine,13
difficulty swallowing in the morning,Gastroenterology,4
hair loss,Dermatology,3
fever since 1 week,General Medicine,13
cold and cough chronic,General Medicine,13
squinting worsening at night,Ophthalmology,10
delayed milestones in the morning,Pediatrics,8
cold and cough in the morning,General Medicine,13
ear pain since 2 days,ENT,11
menstrual cramps with fever,Gynecology,7
itching in the morning,Dermatology,3
phobia mild to moderate,Psychiatry,9
heart racing mild to moderate,Cardiology,0
kidney pain worsening at night,Nephrology,12
cold and cough in the morning,General Medicine,13
nausea sudden onset,Gastroenterology,4
OCD symptoms with fever,Psychiatry,9
child ear pain in the morning,Pediatrics,8
childhood asthma,Pediatrics,8
blood in stool mild to moderate,Gastroenterology,4
diarrhea since 1 week,Gastroenterology,4
stomach pain since 2 days,Gastroenterology,4
liver pain since 2 days,Gastroenterology,4
irregular heartbeat with fever,Cardiology,0
weakness on one side worsening at night,Neurology,1
suicidal thoughts after eating,Psychiatry,9
sinusitis since 1 week,ENT,11
cataract worsening at night,Ophthalmology,10
allergic skin reaction after eating,Dermatology,3
blood in urine worsening at night,Nephrology,12
frequent chest infections with fever,Pulmonology,5
foamy urine worsening at night,Nephrology,12
dizziness since 2 days,Neurology,1
fainting,Neurology,1
weakness on one side since 2 days,Neurology,1
vertigo mild to moderate,ENT,11
severe headache chronic,Neurology,1
glaucoma symptoms,Ophthalmology,10
ear pain after eating,ENT,11
palpitations chronic,Cardiology,0
swollen ankles,Cardiology,0
menstrual cramps sudden onset,Gynecology,7
cough for 3 weeks in the morning,Pulmonology,5
tingling in hands mild to moderate,Neurology,1
diabetes symptoms mild to moderate,Endocrinology,6
fatigue worsening at night,Endocrinology,6
vaccination mild to moderate,Pediatrics,8
acid reflux after eating,Gastroenterology,4
heart racing worsening at night,Cardiology,0
allergic skin reaction with fever,Dermatology,3
kidney pain since 2 days,Nephrology,12
menopause symptoms chronic,Gynecology,7
frequent UTI sudden onset,Nephrology,12
excessive sweating,Endocrinology,6
frequent UTI since 2 days,Nephrology,12
itching in the morning,Dermatology,3
nasal congestion after eating,ENT,11
foamy urine since 2 days,Nephrology,12
allergic skin reaction mild to moderate,Dermatology,3
malaria symptoms worsening at night,General Medicine,13
squinting mild to moderate,Ophthalmology,10
menopause symptoms,Gynecology,7
skin rash since 1 week,Dermatology,3
swollen ankles since 2 days,Cardiology,0
joint swelling in the morning,Orthopedics,2
malaria symptoms in the morning,General Medicine,13
schizophrenia symptoms after eating,Psychiatry,9
red eye after eating,Ophthalmology,10
numbness in face worsening at night,Neurology,1
acne sudden onset,Dermatology,3
floaters in vision after eating,Ophthalmology,10
mood swings since 2 days,Psychiatry,9
typhoid symptoms chronic,General Medicine,13
acne since 2 days,Dermatology,3
fatigue mild to moderate,Endocrinology,6
sinusitis after eating,ENT,11
pregnancy symptoms after eating,Gynecology,7
fever after eating,General Medicine,13
depression since 1 week,Psychiatry,9
malaria symptoms chronic,General Medicine,13
knee pain in the morning,Orthopedics,2
confusion after eating,Neurology,1
blurry vision,Ophthalmology,10
dengue symptoms mild to moderate,General Medicine,13
increased thirst worsening at night,Endocrinology,6
psoriasis patches in the morning,Dermatology,3
blurry vision,Ophthalmology,10
watery eyes since 1 week,Ophthalmology,10
hearing loss,ENT,11
hearing loss mild to moderate,ENT,11
sinusitis sudden onset,ENT,11
shoulder stiffness worsening at night,Orthopedics,2
excessive sweating since 2 days,Endocrinology,6
neck stiffness worsening at night,Orthopedics,2
delayed milestones with fever,Pediatrics,8
hair thinning since 2 days,Endocrinology,6
glaucoma symptoms chronic,Ophthalmology,10
suicidal thoughts with fever,Psychiatry,9
kidney pain since 2 days,Nephrology,12
acne chronic,Dermatology,3
stomach pain worsening at night,Gastroenterology,4
excessive sweating sudden onset,Endocrinology,6
shortness of breath chronic,Cardiology,0
irregular periods worsening at night,Gynecology,7
confusion sudden onset,Neurology,1
dialysis related chronic,Nephrology,12
cold and cough in the morning,General Medicine,13
child rash since 1 week,Pediatrics,8
hearing loss sudden onset,ENT,11
menstrual cramps,Gynecology,7
dialysis related sudden onset,Nephrology,12
breast lump worsening at night,Gynecology,7
sore throat mild to moderate,ENT,11
eczema flare,Dermatology,3
fracture mild to moderate,Orthopedics,2
swollen ankles since 2 days,Cardiology,0
acne since 1 week,Dermatology,3
sudden weight gain with fever,Endocrinology,6
OCD symptoms,Psychiatry,9
child fever chronic,Pediatrics,8
bone pain after eating,Orthopedics,2
wheezing since 1 week,Pulmonology,5
sudden weight gain mild to moderate,Endocrinology,6
chest pressure mild to moderate,Cardiology,0
nausea after eating,Gastroenterology,4
childhood asthma,Pediatrics,8
liver pain since 1 week,Gastroenterology,4
TB symptoms chronic,Pulmonology,5
nausea since 2 days,Gastroenterology,4
child vomiting in the morning,Pediatrics,8
psoriasis patches in the morning,Dermatology,3
vaccination with fever,Pediatrics,8
foot pain in morning worsening at night,Orthopedics,2
foot pain in morning since 2 days,Orthopedics,2
knee pain worsening at night,Orthopedics,2
chest pain mild to moderate,Cardiology,0
fatigue since 2 days,Endocrinology,6
pregnancy symptoms in the morning,Gynecology,7
squinting worsening at night,Ophthalmology,10
hip pain while walking,Orthopedics,2
acid reflux mild to moderate,Gastroenterology,4
vomiting with fever,Gastroenterology,4
health certificate in the morning,General Medicine,13
ear pain since 2 days,ENT,11
vertigo sudden onset,ENT,11
child ear pain since 1 week,Pediatrics,8
itching mild to moderate,Dermatology,3
phobia after eating,Psychiatry,9
chest tightness at rest mild to moderate,Cardiology,0
loss of appetite since 2 days,General Medicine,13
sinusitis since 2 days,ENT,11
chest pain in the morning,Cardiology,0
tingling in hands since 2 days,Neurology,1
foot pain in morning in the morning,Orthopedics,2
shoulder stiffness with fever,Orthopedics,2
irregular periods in the morning,Gynecology,7
body ache with fever,General Medicine,13
chest congestion with fever,Pulmonology,5
cough for 3 weeks mild to moderate,Pulmonology,5
cold intolerance since 2 days,Endocrinology,6
blood in urine after eating,Nephrology,12
memory loss in the morning,Neurology,1
floaters in vision since 1 week,Ophthalmology,10
PCOD symptoms sudden onset,Gynecology,7
cold and cough after eating,General Medicine,13
bone pain after eating,Orthopedics,2
allergic skin reaction with fever,Dermatology,3
increased thirst after eating,Endocrinology,6
hip pain while walking sudden onset,Orthopedics,2
back pain after eating,Orthopedics,2
sinusitis,ENT,11
floaters in vision in the morning,Ophthalmology,10
phobia since 2 days,Psychiatry,9
fracture since 2 days,Orthopedics,2
skin rash since 2 days,Dermatology,3
weakness on one side since 1 week,Neurology,1
frequent chest infections since 2 days,Pulmonology,5
cold intolerance in the morning,Endocrinology,6
stomach pain mild to moderate,Gastroenterology,4
confusion with fever,Neurology,1
anxiety worsening at night,Psychiatry,9
insomnia chronic,Psychiatry,9
sinusitis since 1 week,ENT,11
TB symptoms with fever,Pulmonology,5
vision blurring suddenly in the morning,Neurology,1
snoring worsening at night,ENT,11
breathlessness at night since 1 week,Pulmonology,5
pelvic pain since 2 days,Gynecology,7
nail discoloration sudden onset,Dermatology,3
yellow eyes with fever,Gastroenterology,4
dialysis related chronic,Nephrology,12
darkening of skin since 2 days,Dermatology,3
stress sudden onset,Psychiatry,9
floaters in vision sudden onset,Ophthalmology,10
cataract in the morning,Ophthalmology,10
shortness of breath sudden onset,Cardiology,0
hair thinning in the morning,Endocrinology,6
OCD symptoms with fever,Psychiatry,9
insomnia worsening at night,Psychiatry,9
swollen wrist since 2 days,Orthopedics,2
fatigue with fever,Endocrinology,6
frequent urination since 1 week,Endocrinology,6
vaginal discharge after eating,Gynecology,7
skin rash,Dermatology,3
watery eyes chronic,Ophthalmology,10
anxiety after eating,Psychiatry,9
mood swings,Psychiatry,9
chest pain,Cardiology,0
tonsillitis since 2 days,ENT,11
dizziness after eating,Neurology,1
red eye since 2 days,Ophthalmology,10
fatigue after eating,General Medicine,13
sudden weight gain worsening at night,Endocrinology,6
acne since 2 days,Dermatology,3
vision blurring suddenly mild to moderate,Neurology,1
hearing loss since 1 week,ENT,11
anxiety worsening at night,Psychiatry,9
liver pain in the morning,Gastroenterology,4
skin rash chronic,Dermatology,3
dizziness mild to moderate,Neurology,1
general checkup since 2 days,General Medicine,13
vaginal discharge since 1 week,Gynecology,7
skin rash mild to moderate,Dermatology,3
bone pain sudden onset,Orthopedics,2
pregnancy symptoms sudden onset,Gynecology,7
blurry vision in the morning,Ophthalmology,10
diarrhea sudden onset,Gastroenterology,4
stomach pain after eating,Gastroenterology,4
fainting with fever,Neurology,1
diarrhea with fever,Gastroenterology,4
confusion with fever,Neurology,1
chest tightness at rest in the morning,Cardiology,0
vertigo after eating,ENT,11
chest pressure with fever,Cardiology,0
blood in urine since 2 days,Nephrology,12
snoring sudden onset,ENT,11
cataract since 1 week,Ophthalmology,10
insulin resistance,Endocrinology,6
red eye with fever,Ophthalmology,10
irregular periods since 1 week,Gynecology,7
numbness in face worsening at night,Neurology,1
loss of appetite with fever,General Medicine,13
newborn jaundice chronic,Pediatrics,8
chest tightness at rest with fever,Cardiology,0
OCD symptoms since 1 week,Psychiatry,9
frequent urination mild to moderate,Endocrinology,6
fatigue chronic,General Medicine,13
chest congestion,Pulmonology,5
excessive sweating after eating,Endocrinology,6
health certificate sudden onset,General Medicine,13
TB symptoms with fever,Pulmonology,5
watery eyes mild to moderate,Ophthalmology,10
acid reflux since 1 week,Gastroenterology,4
diabetes symptoms worsening at night,Endocrinology,6
bloating in the morning,Gastroenterology,4
dizziness while climbing stairs in the morning,Cardiology,0
foot pain in morning worsening at night,Orthopedics,2
child fever in the morning,Pediatrics,8
body ache worsening at night,General Medicine,13
shortness of breath with fever,Cardiology,0
decreased urine output chronic,Nephrology,12
hair thinning sudden onset,Endocrinology,6
dialysis related since 1 week,Nephrology,12
darkening of skin since 2 days,Dermatology,3
schizophrenia symptoms sudden onset,Psychiatry,9
child rash worsening at night,Pediatrics,8
suicidal thoughts since 2 days,Psychiatry,9
foot pain in morning since 1 week,Orthopedics,2
cataract worsening at night,Ophthalmology,10
eczema flare worsening at night,Dermatology,3
tingling in hands with fever,Neurology,1
coughing blood with fever,Pulmonology,5
depression worsening at night,Psychiatry,9
skin rash chronic,Dermatology,3
kidney pain,Nephrology,12
foot pain in morning in the morning,Orthopedics,2
tingling in hands,Neurology,1
dizziness while climbing stairs with fever,Cardiology,0
child ear pain after eating,Pediatrics,8
body ache since 2 days,General Medicine,13
boil on skin after eating,Dermatology,3
vaginal discharge in the morning,Gynecology,7
depression in the morning,Psychiatry,9
vision blurring suddenly worsening at night,Neurology,1
runny nose after eating,ENT,11
wheezing after eating,Pulmonology,5
vomiting mild to moderate,Gastroenterology,4
child rash with fever,Pediatrics,8
confusion chronic,Neurology,1
insomnia since 1 week,Psychiatry,9
irregular periods in the morning,Gynecology,7
chest congestion,Pulmonology,5
child fever sudden onset,Pediatrics,8
depression since 2 days,Psychiatry,9
acid reflux mild to moderate,Gastroenterology,4
sinusitis sudden onset,ENT,11
vomiting with fever,Gastroenterology,4
skin rash since 2 days,Dermatology,3
mood swings chronic,Psychiatry,9
OCD symptoms chronic,Psychiatry,9
chest tightness at rest,Cardiology,0
squinting since 2 days,Ophthalmology,10
tonsillitis,ENT,11
child fever since 2 days,Pediatrics,8
foamy urine mild to moderate,Nephrology,12
tonsillitis worsening at night,ENT,11
tingling in hands in the morning,Neurology,1
smoking related cough chronic,Pulmonology,5
insulin resistance since 1 week,Endocrinology,6
joint swelling sudden onset,Orthopedics,2
insulin resistance worsening at night,Endocrinology,6
irregular periods since 1 week,Gynecology,7
menopause symptoms after eating,Gynecology,7
vaginal discharge worsening at night,Gynecology,7
vision blurring suddenly mild to moderate,Neurology,1
liver pain chronic,Gastroenterology,4
eye pain after eating,Ophthalmology,10
stomach pain worsening at night,Gastroenterology,4
kidney pain since 2 days,Nephrology,12
cough for 3 weeks chronic,Pulmonology,5
delayed milestones sudden onset,Pediatrics,8
back pain after eating,Orthopedics,2
body ache in the morning,General Medicine,13
phobia sudden onset,Psychiatry,9
excessive sweating sudden onset,Endocrinology,6
anxiety after eating,Psychiatry,9
stress in the morning,Psychiatry,9
PCOD symptoms mild to moderate,Gynecology,7
cataract in the morning,Ophthalmology,10
PCOD symptoms chronic,Gynecology,7
typhoid symptoms since 2 days,General Medicine,13
severe headache chronic,Neurology,1
liver pain since 1 week,Gastroenterology,4
skin rash in the morning,Dermatology,3
irregular periods,Gynecology,7
acne,Dermatology,3
diarrhea since 1 week,Gastroenterology,4
palpitations worsening at night,Cardiology,0
schizophrenia symptoms sudden onset,Psychiatry,9
breathlessness at night chronic,Pulmonology,5
diabetes symptoms with fever,Endocrinology,6
squinting since 2 days,Ophthalmology,10
skin rash chronic,Dermatology,3
shortness of breath since 1 week,Cardiology,0
tingling in hands,Neurology,1
malaria symptoms worsening at night,General Medicine,13
menstrual cramps since 1 week,Gynecology,7
decreased urine output after eating,Nephrology,12
chest tightness at rest in the morning,Cardiology,0
frequent chest infections since 1 week,Pulmonology,5
menopause symptoms since 1 week,Gynecology,7
runny nose,ENT,11
vertigo worsening at night,ENT,11
child ear pain since 2 days,Pediatrics,8
shoulder stiffness since 2 days,Orthopedics,2
acne,Dermatology,3
acne,Dermatology,3
blood in urine,Nephrology,12
slurred speech,Neurology,1
delayed milestones,Pediatrics,8
childhood asthma since 2 days,Pediatrics,8
pregnancy symptoms,Gynecology,7
dialysis related after eating,Nephrology,12
fever with fever,General Medicine,13
pregnancy symptoms after eating,Gynecology,7
general checkup worsening at night,General Medicine,13
snoring since 1 week,ENT,11
stomach pain mild to moderate,Gastroenterology,4
cough for 3 weeks worsening at night,Pulmonology,5
ear pain mild to moderate,ENT,11
increased thirst chronic,Endocrinology,6
increased thirst with fever,Endocrinology,6
glaucoma symptoms since 2 days,Ophthalmology,10
frequent urination chronic,Endocrinology,6
menstrual cramps mild to moderate,Gynecology,7
numbness in face since 1 week,Neurology,1
child ear pain sudden onset,Pediatrics,8
floaters in vision since 1 week,Ophthalmology,10
nail discoloration,Dermatology,3
sore throat in the morning,ENT,11
menstrual cramps since 1 week,Gynecology,7
menopause symptoms,Gynecology,7
infant not feeding in the morning,Pediatrics,8
phobia since 1 week,Psychiatry,9
allergic skin reaction sudden onset,Dermatology,3
PCOD symptoms since 2 days,Gynecology,7
general checkup chronic,General Medicine,13
pelvic pain mild to moderate,Gynecology,7
skin rash in the morning,Dermatology,3
vision blurring suddenly since 1 week,Neurology,1
schizophrenia symptoms since 2 days,Psychiatry,9
pregnancy symptoms since 2 days,Gynecology,7
swollen wrist chronic,Orthopedics,2
PCOD symptoms after eating,Gynecology,7
nail discoloration,Dermatology,3
breast lump with fever,Gynecology,7
coughing blood after eating,Pulmonology,5
asthma attack after eating,Pulmonology,5
pelvic pain with fever,Gynecology,7
acne in the morning,Dermatology,3
phobia with fever,Psychiatry,9
floaters in vision mild to moderate,Ophthalmology,10
dizziness,Neurology,1
tonsillitis in the morning,ENT,11
bone pain in the morning,Orthopedics,2
runny nose with fever,ENT,11
cold and cough with fever,General Medicine,13
diabetes symptoms sudden onset,Endocrinology,6
irregular heartbeat worsening at night,Cardiology,0
vaccination after eating,Pediatrics,8
pelvic pain worsening at night,Gynecology,7
body ache,General Medicine,13
memory loss worsening at night,Neurology,1
eye pain,Ophthalmology,10
shortness of breath since 1 week,Cardiology,0
menstrual cramps after eating,Gynecology,7
insomnia chronic,Psychiatry,9
body ache worsening at night,General Medicine,13
snoring with fever,ENT,11
weakness on one side,Neurology,1
confusion since 1 week,Neurology,1
vision blurring suddenly after eating,Neurology,1
squinting in the morning,Ophthalmology,10
snoring in the morning,ENT,11
decreased urine output since 1 week,Nephrology,12
smoking related cough in the morning,Pulmonology,5
shoulder stiffness since 2 days,Orthopedics,2
itching with fever,Dermatology,3
slurred speech since 2 days,Neurology,1
weakness sudden onset,General Medicine,13
itching worsening at night,Dermatology,3
fatigue worsening at night,Endocrinology,6
glaucoma symptoms mild to moderate,Ophthalmology,10
severe headache with fever,Neurology,1
vaginal discharge sudden onset,Gynecology,7
irregular periods worsening at night,Gynecology,7
excessive sweating after eating,Endocrinology,6
frequent urination in the morning,Endocrinology,6
knee pain mild to moderate,Orthopedics,2
numbness in face,Neurology,1
childhood asthma with fever,Pediatrics,8
vaccination with fever,Pediatrics,8
vision blurring suddenly chronic,Neurology,1
childhood asthma since 1 week,Pediatrics,8
insomnia chronic,Psychiatry,9
malaria symptoms worsening at night,General Medicine,13
bone pain in the morning,Orthopedics,2
frequent UTI worsening at night,Nephrology,12
shortness of breath in the morning,Cardiology,0
chest pressure in the morning,Cardiology,0
breathlessness on exertion after eating,Cardiology,0
typhoid symptoms,General Medicine,13
increased thirst worsening at night,Endocrinology,6
infant not feeding chronic,Pediatrics,8
cold and cough mild to moderate,General Medicine,13
fainting chronic,Neurology,1
fever worsening at night,General Medicine,13
pregnancy symptoms sudden onset,Gynecology,7
knee pain sudden onset,Orthopedics,2
vision blurring suddenly in the morning,Neurology,1
nail discoloration after eating,Dermatology,3
slurred speech with fever,Neurology,1
swollen wrist since 2 days,Orthopedics,2
numbness in face sudden onset,Neurology,1
wheezing worsening at night,Pulmonology,5
cataract with fever,Ophthalmology,10
swollen face in morning since 2 days,Nephrology,12
yellow eyes chronic,Gastroenterology,4
seizures since 1 week,Neurology,1
eczema flare after eating,Dermatology,3
bloating sudden onset,Gastroenterology,4
child ear pain since 2 days,Pediatrics,8
dizziness while climbing stairs after eating,Cardiology,0
fever after eating,General Medicine,13
vomiting worsening at night,Gastroenterology,4
ear pain since 2 days,ENT,11
frequent urination,Endocrinology,6
insomnia since 2 days,Psychiatry,9
nasal congestion with fever,ENT,11
irregular heartbeat with fever,Cardiology,0
cough for 3 weeks sudden onset,Pulmonology,5
watery eyes since 1 week,Ophthalmology,10
hormonal imbalance mild to moderate,Gynecology,7
phobia,Psychiatry,9
difficulty swallowing in the morning,Gastroenterology,4
chest congestion since 2 days,Pulmonology,5
fatigue sudden onset,General Medicine,13
weakness on one side since 2 days,Neurology,1
nausea mild to moderate,Gastroenterology,4
menstrual cramps with fever,Gynecology,7
panic attacks with fever,Psychiatry,9
knee pain since 2 days,Orthopedics,2
tingling in hands,Neurology,1
thyroid swelling sudden onset,Endocrinology,6
newborn jaundice mild to moderate,Pediatrics,8
squinting after eating,Ophthalmology,10
breast lump since 2 days,Gynecology,7
boil on skin worsening at night,Dermatology,3
skin rash after eating,Dermatology,3
